JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Data Scientist,Sabeo Contracting Services Ltd,Dublin,1 day ago,2021-01-22,Minimum of 5 years of relevant experience in data science or analytics role. Analyse data and develop data models to enable self-serve insights at scale.,,https://ie.indeed.com/rc/clk?jk=9310130e5f7bb155&fccid=334e8c67236cf005&vjs=3
Data Analyst,PlaceMe,"Athlone, County Westmeath",30+ days ago,2021-01-22,"2-3 years of experience in data analysis nd report generation. Establishment of awareness campaigns ensuring that data is recorded centrally, distributed…",,https://ie.indeed.com/rc/clk?jk=658f8563092a0936&fccid=9c67ce1f51c66ee9&vjs=3
"Junior Engineer Intern - Summer 2021 - Dublin, Ireland","Guidewire Software, Inc.",Dublin,6 days ago,2021-01-22,"Guidewire combines core, data, digital, analytics, and AI to deliver our platform as a cloud service. This intern will join our Business Technology team…",,https://ie.indeed.com/rc/clk?jk=b4d7f6212cb6509f&fccid=be90d89fb010b0bf&vjs=3
Portfolio Intelligence Analyst,Legal & General Investment Management,Dublin,1 day ago,2021-01-22,The role will require you to be adaptable in enhancing or creating new processes and leveraging on centralised data management systems to provide management…,,https://ie.indeed.com/rc/clk?jk=86a8dfae7960f58d&fccid=ee0e27da47075aef&vjs=3
Graduate Opportunities – Systems Analyst – Summer/Autumn 2021,BearingPoint Ireland,Dublin,30+ days ago,2021-01-22,"From data scientists to enterprise application specialists, from experienced local practitioners to thought leaders, from across the BearingPoint global network…",,https://ie.indeed.com/rc/clk?jk=8f5a5c1866fa4ea9&fccid=6a69b211674e7fe9&vjs=3
Data Scientist,Eolas Recruitment,Dublin,6 days ago,2021-01-22,My Dublin based client is recruiting for a Data Scientist to join the team on a contract basis. This role will involve a mix of remote working and office based.,,https://ie.indeed.com/rc/clk?jk=93a9099ad86fbab7&fccid=84dd258955114da3&vjs=3
Digital Analytics Lead,3 Ireland,Dublin,2 days ago,2021-01-22,"There will be opportunities to work collaboratively on cutting edge projects with colleagues across the team, bringing the disciplines of digital analytics,…",,https://ie.indeed.com/rc/clk?jk=343ab66ad0d1bde4&fccid=a3af0ea23e623ebf&vjs=3
Digital Data Analyst,Nielsen,Dublin,30+ days ago,2021-01-22,Ensure high quality data from panel homes. Today’s data is tomorrow’s marketplace revelation. We’re bringing in data 24/7 and the possibilities are endless.,,https://ie.indeed.com/rc/clk?jk=c82ca540a872abd7&fccid=683f563b5cc25b70&vjs=3
Digital Data Analyst,Nielsen,Dublin,30+ days ago,2021-01-22,Ensure high quality data from panel homes. Today’s data is tomorrow’s marketplace revelation. We’re bringing in data 24/7 and the possibilities are endless.,,https://ie.indeed.com/rc/clk?jk=c82ca540a872abd7&fccid=683f563b5cc25b70&vjs=3
Senior Recruitment Consultant - Data Analytics,RecToRec,Dublin,15 days ago,2021-01-22,Driving your brand as a leading data analytics search professional. It’s never been a better time to look at hiring in data analytics – as demand continues to…,,https://ie.indeed.com/rc/clk?jk=cebc7ec142e107d1&fccid=7fbf6651daec25d1&vjs=3
Data Artist - Web Designer,Idiro Analytics,Dublin,1 day ago,2021-01-22,"You will be responsible for creating compelling data visualisations that bridge the gap between data science and business. Web, graphic, mobile and data design.",,https://ie.indeed.com/company/Idiro-Analytics/jobs/Data-Artist-f94219481e72ab0b?fccid=63fb844e405f53bf&vjs=3
IFDS-Transfer Agent-Associate -2-Dublin,State Street,"South Dublin, County Dublin",2 days ago,2021-01-22,"We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients. Who we are looking for.",,https://ie.indeed.com/rc/clk?jk=91c84636f3ffde3c&fccid=92f1ccd9154b0139&vjs=3
Reward and People Insights Analyst,3 Ireland,Dublin,2 days ago,2021-01-22,"Adept at data analysis and drawing insights based on various data sources. Experienced in using software applications, such as Excel, to manage and analyse data…",,https://ie.indeed.com/rc/clk?jk=acad9443342e58cd&fccid=a3af0ea23e623ebf&vjs=3
Social Media and Marketing Assistant,NL,"Clonmel, County Tipperary",Just posted,2021-01-22,Recommending and implementing changes and improvements based on data insights. Our company is seeking an enthusiastic Social Media & Marketing Person to join…,,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3j_4v8_LrkkZL8AdvxFRlJsiFiRsqPvRcVY-C-fXHo3y4kdFnFzOpH9dcLWGtKTCZHuAA2Wx0-iqatMfFIS_AwObXw4i6LqaWzKIrUFT8jJubR_15F6NQXW1fMsUwItHXzHfHoHoXEkXtlgfI_m3U94lMZULOnehD1FmLp-c8JpXEysKY8tXipcxEGNYnEyLEyFqBfFaLwBAqnX3zX6cX1j2Az0M9ContG4d6nN6lcOmKOEmC7xCMZmEtwC-QwWMgqp6PqUYAh_vJTfC-cBAeDWqzbaCzOBgZqsMOYU3xj2zA0p9oxUnBaQ_0QNR0mETjNoL8YmjLSk1_4bHGccEL2_ZbFE-qUxPDdZEqlA78Qj_Z97eiKZqoIdEffbzjzAghartIGR8MoG4qipg1K64_8yPIoNlx_l9JLLzSfduZa909fXjvhglcyThuaRtV68cDS0fhG658mqq5W4y7K-Pc&p=5&fvj=1&vjs=3
Fraud Risk Analyst,3 Ireland,Dublin,6 days ago,2021-01-22,"Knowledge of developing fraud management systems and tools, data analytics and data interrogation skills. Translate fraud trend metrics, analysis, and data into…",,https://ie.indeed.com/rc/clk?jk=16696787467a7cfa&fccid=a3af0ea23e623ebf&vjs=3
Data Analyst,Kepak,"Blanchardstown, County Dublin",30+ days ago,2021-01-22,Has full responsibility for managing data infrastructures and data integrations. Develop data quality controls to locate and correct core data problems.,,https://ie.indeed.com/rc/clk?jk=be3fea087c33f0c1&fccid=b5f50acde3601f7a&vjs=3
Marketing Analyst,RCSI,Dublin,13 days ago,2021-01-22,"The ideal candidate will be an experienced marketing researcher, with extensive experience using website, search engine optimisation and social media data…",,https://ie.indeed.com/rc/clk?jk=08893b3e9602ca8f&fccid=0ec4da8c2363038a&vjs=3
